case_id,ocd_id,surface_formula,adsorbate,backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,variant,best_energy_eV,success,run_path,iterations,wasted_iterations,waste_ratio,slip_count,dissociation_count,tokens_used
013,114,Ag24In12Sc12,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.6935501098632812,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/013,5,0,0.0,4,1,26945
013,114,Ag24In12Sc12,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.2730464935302734,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/013,1,0,0.0,0,0,4612
014,118,Ge36V60,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-11.384456634521484,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/014,5,0,0.0,5,1,32637
014,118,Ge36V60,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-11.384395599365234,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/014,5,0,0.0,4,0,29214
014,118,Ge36V60,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-10.396541595458984,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/014,3,0,0.0,3,0,23684
014,118,Ge36V60,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-11.384395599365234,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/014,5,0,0.0,5,2,31758
014,118,Ge36V60,[N]=N,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-8.813106536865234,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/014,1,0,0.0,1,0,5317
015,130,Ge16Mn48,C(=O)C,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-1.094757080078125,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/015,4,0,0.0,2,2,29572
015,130,Ge16Mn48,C(=O)C,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.094757080078125,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/015,4,0,0.0,2,2,26618
015,130,Ge16Mn48,C(=O)C,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.005523681640625,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/015,3,0,0.0,2,2,22937
015,130,Ge16Mn48,C(=O)C,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.094757080078125,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/015,5,0,0.0,3,3,32786
015,130,Ge16Mn48,C(=O)C,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,,FALSE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/015,1,0,0.0,1,1,4927
016,181,Cu32Se64W16,C(C)O,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-10.361473083496094,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/016,5,0,0.0,3,1,28689
