dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD-GMAE rep50,019,gpt,GPT-5.4,single_shot,1-Shot,-3.493144989013672,-3.549367904663086,-0.056222916,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,020,gpt,GPT-5.4,single_shot,1-Shot,-2.7164840698242188,-1.2141952514648438,1.502288818,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,021,gpt,GPT-5.4,single_shot,1-Shot,-4.417228698730469,-4.241462707519531,0.175765991,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,022,gpt,GPT-5.4,single_shot,1-Shot,-7.176612854003906,-6.123451232910156,1.053161621,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,023,gpt,GPT-5.4,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,024,gpt,GPT-5.4,single_shot,1-Shot,-3.2887935638427734,-3.1149044036865234,0.173889160,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,026,gpt,GPT-5.4,single_shot,1-Shot,-19.716903686523438,-19.717514038085938,-0.000610352,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,027,gpt,GPT-5.4,single_shot,1-Shot,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,028,gpt,GPT-5.4,single_shot,1-Shot,-7.268848419189453,-7.790712356567383,-0.521863937,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,029,gpt,GPT-5.4,single_shot,1-Shot,-2.721467971801758,-2.719514846801758,0.001953125,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,030,gpt,GPT-5.4,single_shot,1-Shot,-4.292024612426758,-4.292024612426758,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,033,gpt,GPT-5.4,single_shot,1-Shot,-3.056640625,-2.7376708984375,0.318969727,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,034,gpt,GPT-5.4,single_shot,1-Shot,-3.6074676513671875,-3.4162750244140625,0.191192627,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,035,gpt,GPT-5.4,single_shot,1-Shot,-4.418554306030273,-4.418554306030273,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,036,gpt,GPT-5.4,single_shot,1-Shot,-0.16718101501464844,-0.16718101501464844,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,037,gpt,GPT-5.4,single_shot,1-Shot,-10.361473083496094,-8.988121032714844,1.373352051,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,038,gpt,GPT-5.4,single_shot,1-Shot,-3.3192520141601562,-3.2947616577148438,0.024490356,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,039,gpt,GPT-5.4,single_shot,1-Shot,-7.434549331665039,-7.24180793762207,0.192741394,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,040,gpt,GPT-5.4,single_shot,1-Shot,-5.455301284790039,-5.74797248840332,-0.292671204,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,041,gpt,GPT-5.4,single_shot,1-Shot,-4.019645690917969,-2.727874755859375,1.291770935,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
