dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD62,028,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.019645690917969,-4.020530700683594,-0.000885010,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,028,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.019645690917969,-4.029594421386719,-0.009948730,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,029,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.967422485351563,-7.967422485351563,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,029,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.967422485351563,-7.967422485351563,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,029,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.967422485351563,-8.870079040527344,-0.902656555,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,030,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-5.068367004394531,-5.087837219238281,-0.019470215,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,030,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-5.068367004394531,-5.087776184082031,-0.019409180,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,030,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-5.068367004394531,-5.087898254394531,-0.019531250,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,031,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-5.4748687744140625,-5.4770660400390625,-0.002197266,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,031,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-5.4748687744140625,-4.571258544921875,0.903610229,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,031,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-5.4748687744140625,-5.4723052978515625,0.002563477,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,032,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,032,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,032,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,033,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.546131134033203,-4.546131134033203,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,033,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.546131134033203,-4.546131134033203,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,033,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.546131134033203,-4.546131134033203,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,034,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,034,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,034,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,035,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-6.176261901855469,-6.2310638427734375,-0.054801941,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,035,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-6.176261901855469,-6.2311553955078125,-0.054893494,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,035,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-6.176261901855469,-6.2310028076171875,-0.054740906,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,036,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-10.643351554870604,-10.208537101745604,0.434814453,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,036,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-10.643351554870604,-10.606913566589355,0.036437988,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,036,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-10.643351554870604,-10.643351554870604,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,037,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-5.455301284790039,-5.74797248840332,-0.292671204,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,037,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-5.455301284790039,-5.74797248840332,-0.292671204,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,037,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-5.455301284790039,-5.74797248840332,-0.292671204,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,038,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.319252014160156,-3.3852310180664062,-0.065979004,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
