dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,01,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.6317179203033447,-3.6311686038970947,0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,grok,Grok-4,single_shot,1-Shot,-4.662910461425781,-4.551860809326172,0.111049652,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,grok,Grok-4,single_shot,1-Shot,-2.865570068359375,-3.0664215087890625,-0.200851440,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,grok,Grok-4,single_shot,1-Shot,-3.1291351318359375,-2.4179840087890625,0.711151123,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,grok,Grok-4,single_shot,1-Shot,-4.044700622558594,-3.5939178466796875,0.450782776,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,grok,Grok-4,single_shot,1-Shot,-11.652645111083984,-10.602500915527344,1.050144196,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-3.6317179203033447,-3.6317179203033447,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-4.765958786010742,-4.765775680541992,0.000183105,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.0603294372558594,-2.1948204040527344,-0.134490967,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.1646385192871094,-1.8745841979980469,0.290054321,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-7.051090955734253,-7.051090955734253,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-6.414363861083984,-6.414363861083984,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-1.9739322662353516,-1.9739322662353516,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.7176666259765625,-2.7176666259765625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.3885955810546875,-2.4184722900390625,-0.029876709,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.3513641357421875,-2.3513641357421875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.8251419067382812,-2.8251419067382812,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-3.6166324615478516,-3.6166324615478516,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-3.257709503173828,-3.257709503173828,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-4.662910461425781,-4.662910461425781,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-3.222217559814453,-3.064361572265625,0.157855988,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-2.7787933349609375,-2.7787628173828125,0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-3.8413848876953125,-3.8413848876953125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
