dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,16,gpt,GPT-5.4,no_slip,w/o Slip,-4.272052764892578,-4.662910461425781,-0.390857697,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,gpt,GPT-5.4,no_slip,w/o Slip,-3.241016387939453,-3.240985870361328,0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,gpt,GPT-5.4,no_slip,w/o Slip,-2.7240142822265625,-3.2147865295410156,-0.490772247,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,gpt,GPT-5.4,no_slip,w/o Slip,-4.0125274658203125,-4.099582672119141,-0.087055206,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,gpt,GPT-5.4,no_slip,w/o Slip,-11.652278900146484,-11.652828216552734,-0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-3.630131483078003,-3.630131483078003,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-4.769039154052734,-4.769039154052734,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-2.2848472595214844,-2.2833213806152344,0.001525879,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-2.961643934249878,-2.9616286754608154,0.000015259,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-1.8745841979980469,-2.164623260498047,-0.290039062,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-7.051090955734253,-7.051090955734253,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-6.869441986083984,-7.190608978271484,-0.321166992,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-2.7176666259765625,-2.7176666259765625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,claude,Claude Sonnet 4.6,no_slip,w/o Slip,-2.4184722900390625,-2.4184722900390625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
