dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD24,024,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-3.715871810913086,-3.376506805419922,0.339365005,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,024,GPT-5.4,GPT-5.4,single_shot,1-Shot,-3.715871810913086,-3.376506805419922,0.339365005,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,024,Grok-4,Grok-4,single_shot,1-Shot,-3.715871810913086,-3.376506805419922,0.339365005,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,001,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-4.743168592453003,-4.743199110031128,-0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,001,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-4.980229139328003,-4.980229139328003,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,001,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-4.743168592453003,-4.741734266281128,0.001434326,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,001,Grok-4,Grok-4,no_slip,w/o Slip,-4.959049940109253,-4.743168592453003,0.215881348,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,002,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,002,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,002,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,002,Grok-4,Grok-4,no_slip,w/o Slip,-7.1137542724609375,-6.6301116943359375,0.483642578,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,003,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-11.654779434204102,-11.654779434204102,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,003,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-11.654779434204102,-11.654779434204102,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,003,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-11.669610977172852,-11.654779434204102,0.014831543,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,003,Grok-4,Grok-4,no_slip,w/o Slip,-11.659296035766602,-11.654779434204102,0.004516602,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,004,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-11.384456634521484,-11.384395599365234,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,004,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-10.13772201538086,-10.13772201538086,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,004,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-11.384456634521484,-11.384395599365234,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,004,Grok-4,Grok-4,no_slip,w/o Slip,-10.13772201538086,-10.13772201538086,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,005,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-10.643351554870605,-10.643351554870605,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,005,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-10.643351554870605,-10.643351554870605,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,005,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-10.643351554870605,-10.643351554870605,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,005,Grok-4,Grok-4,no_slip,w/o Slip,-10.118144035339355,-10.643351554870605,-0.525207520,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD24,006,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-7.403881072998047,-7.403881072998047,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,006,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-7.403881072998047,-7.403942108154297,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,006,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-7.403881072998047,-7.403881072998047,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,006,Grok-4,Grok-4,no_slip,w/o Slip,-7.403881072998047,-7.403881072998047,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,007,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-10.732337951660156,-10.713722229003906,0.018615723,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,007,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-10.732337951660156,-10.732337951660156,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,007,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-10.713539123535156,-10.710975646972656,0.002563477,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,007,Grok-4,Grok-4,no_slip,w/o Slip,-10.711036682128906,-10.710914611816406,0.000122070,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,008,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,008,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,008,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,008,Grok-4,Grok-4,no_slip,w/o Slip,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,009,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-8.870079040527344,-8.408592224121094,0.461486816,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,009,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-7.9674224853515625,-7.9674224853515625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,009,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-8.870079040527344,-6.6915435791015625,2.178535461,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,009,Grok-4,Grok-4,no_slip,w/o Slip,-8.395408630371094,-8.395408630371094,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,GPT-5.4,GPT-5.4,no_slip,w/o Slip,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,010,Grok-4,Grok-4,no_slip,w/o Slip,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,011,Claude Sonnet 4.6,Claude Sonnet 4.6,no_slip,w/o Slip,-4.284576416015625,-4.284423828125,0.000152588,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,011,Gemini 2.5 Pro,Gemini 2.5 Pro,no_slip,w/o Slip,-3.56817626953125,-4.162750244140625,-0.594573975,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
