dataset,backend,backend_label,case_id,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,outcome_0p01eV,full_advantage_gt_0p05eV
OCD-GMAE rep50,gpt,GPT-5.4,002,single_shot,1-Shot,-3.5041396617889404,-3.5041396617889404,0.0,tie_with_full,False
OCD-GMAE rep50,gpt,GPT-5.4,003,single_shot,1-Shot,-3.134526014328003,-3.134526014328003,0.0,tie_with_full,False
OCD-GMAE rep50,gpt,GPT-5.4,005,single_shot,1-Shot,-6.176261901855469,-6.176261901855469,0.0,tie_with_full,False
OCD-GMAE rep50,gpt,GPT-5.4,006,single_shot,1-Shot,-5.4748687744140625,-3.94049072265625,1.5343780517578125,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,007,single_shot,1-Shot,-11.658075332641602,-11.659784317016602,-0.001708984375,tie_with_full,False
OCD-GMAE rep50,gpt,GPT-5.4,008,single_shot,1-Shot,-4.546131134033203,-4.444726943969727,0.10140419006347656,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,009,single_shot,1-Shot,-4.700778961181641,-3.9963321685791016,0.7044467926025391,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,010,single_shot,1-Shot,-10.075138092041016,-9.262384414672852,0.8127536773681641,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,011,single_shot,1-Shot,-3.283937454223633,-3.282930374145508,0.001007080078125,tie_with_full,False
OCD-GMAE rep50,gpt,GPT-5.4,012,single_shot,1-Shot,-9.668575286865234,-9.35494613647461,0.313629150390625,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,013,single_shot,1-Shot,-3.3845252990722656,-3.345600128173828,0.0389251708984375,variant_higher_less_stable,False
OCD-GMAE rep50,gpt,GPT-5.4,015,single_shot,1-Shot,-10.643351554870605,-9.681571960449219,0.9617795944213867,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,016,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.29351806640625,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,017,single_shot,1-Shot,-7.4804487228393555,-8.466667175292969,-0.9862184524536133,variant_lower_more_stable,False
OCD-GMAE rep50,gpt,GPT-5.4,018,single_shot,1-Shot,-2.113170623779297,-2.113170623779297,0.0,tie_with_full,False
