case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used,source,backend
019,single_shot,-3.2566726207733154,0.247467041015625,1,0,0.0,True,1,0,6173,locked10,claude
020,full,-6.2419586181640625,0.0,5,0,0.0,True,5,0,45043,extra14,claude
020,no_slip,-6.2419586181640625,0.0,5,0,0.0,True,4,0,37526,extra14,claude
020,no_forbid,-6.2400054931640625,0.001953125,5,0,0.0,True,4,0,39993,extra14,claude
020,no_termination,-6.2419586181640625,0.0,5,0,0.0,True,4,0,41818,extra14,claude
020,single_shot,-6.1058197021484375,0.136138916015625,1,0,0.0,True,0,0,6137,extra14,claude
021,full,-3.6018409729003906,0.0,5,0,0.0,True,4,0,39213,extra14,claude
021,no_slip,-3.6018409729003906,0.0,5,0,0.0,True,4,0,34254,extra14,claude
021,no_forbid,-3.6018409729003906,0.0,5,0,0.0,True,4,0,38263,extra14,claude
021,no_termination,-3.6018409729003906,0.0,5,0,0.0,True,4,0,38100,extra14,claude
021,single_shot,-3.3670387268066406,0.23480224609375,1,0,0.0,True,0,0,6258,extra14,claude
022,full,-3.3845176696777344,0.0,5,0,0.0,True,5,2,42964,extra14,claude
022,no_slip,-3.3845176696777344,0.0,5,0,0.0,True,5,2,36218,extra14,claude
022,no_forbid,-3.345600128173828,0.03891754150390625,5,0,0.0,True,5,2,37870,extra14,claude
022,no_termination,-3.3456153869628906,0.03890228271484375,5,0,0.0,True,5,2,39236,extra14,claude
022,single_shot,-2.735790252685547,0.6487274169921875,1,0,0.0,True,1,0,5382,extra14,claude
023,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,42342,locked10,claude
023,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,35316,locked10,claude
023,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,39475,locked10,claude
023,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,39547,locked10,claude
023,single_shot,-14.256022453308105,0.29351806640625,1,0,0.0,True,1,0,6279,locked10,claude
024,full,-3.417623519897461,0.0,5,0,0.0,True,4,1,36111,locked10,claude
024,no_slip,-3.715871810913086,-0.298248291015625,5,0,0.0,True,3,0,32427,locked10,claude
024,no_forbid,-3.715871810913086,-0.298248291015625,4,0,0.0,True,2,0,34091,locked10,claude
024,no_termination,-3.715871810913086,-0.298248291015625,5,0,0.0,True,3,1,34206,locked10,claude
024,single_shot,-3.376506805419922,0.04111671447753906,1,0,0.0,True,0,0,5617,locked10,claude
