backend,case_id,variant,best_energy,success,failure_class,iterations,tokens_used,raw_status,error,full_energy,full_success,delta_vs_full_recomputed
Claude Sonnet 4.6,027,no_slip,-7.777910232543945,True,success,5,39799,success,,-7.707094192504883,True,-0.0708160400390625
Claude Sonnet 4.6,028,no_slip,-7.811891555786133,True,success,5,37359,success,,-7.268787384033203,True,-0.5431041717529297
Claude Sonnet 4.6,029,no_slip,-2.739093780517578,True,success,5,35451,success,,-2.739093780517578,True,0.0
Claude Sonnet 4.6,030,no_slip,-5.213466644287109,True,success,5,36271,success,,-4.292024612426758,True,-0.9214420318603516
Claude Sonnet 4.6,031,no_slip,-7.339601516723633,True,success,5,34835,success,,-7.339601516723633,True,0.0
Claude Sonnet 4.6,032,no_slip,-1.094757080078125,True,success,5,34379,success,,-1.094757080078125,True,0.0
Claude Sonnet 4.6,033,no_slip,-3.05670166015625,True,success,5,34059,success,,-3.2235107421875,True,0.16680908203125
Claude Sonnet 4.6,034,no_slip,-3.607513427734375,True,success,5,33246,success,,-3.4394569396972656,True,-0.16805648803710938
Claude Sonnet 4.6,035,no_slip,-4.418554306030273,True,success,5,34385,success,,-4.418554306030273,True,0.0
Claude Sonnet 4.6,036,no_slip,-0.15860748291015625,True,success,5,33499,success,,-0.1671810150146484,True,0.00857353210449216
Claude Sonnet 4.6,037,no_slip,-10.361473083496094,True,success,5,31099,success,,-9.236335754394531,True,-1.1251373291015625
Claude Sonnet 4.6,038,no_slip,-3.3852310180664062,True,success,5,32398,success,,-3.319252014160156,True,-0.06597900390625044
Claude Sonnet 4.6,039,no_slip,-7.434549331665039,True,success,5,34148,success,,-7.434549331665039,True,0.0
Claude Sonnet 4.6,040,no_slip,-5.74797248840332,True,success,5,35419,success,,-5.74797248840332,True,0.0
Claude Sonnet 4.6,041,no_slip,-4.055267333984375,True,success,5,35069,success,,-4.055267333984375,True,0.0
Claude Sonnet 4.6,042,no_slip,-2.152191162109375,True,success,5,37289,success,,-2.2634506225585938,True,0.11125946044921875
Claude Sonnet 4.6,043,no_slip,-3.1455345153808594,True,success,3,39314,success,,-3.145526885986328,True,-7.62939453125e-06
Claude Sonnet 4.6,044,no_slip,-5.087837219238281,True,success,5,34070,success,,-5.087837219238281,True,0.0
Claude Sonnet 4.6,045,no_slip,-2.8234786987304688,True,success,5,33418,success,,-2.848228454589844,True,0.024749755859375444
Claude Sonnet 4.6,046,no_slip,-8.329967498779297,True,success,5,32071,success,,-8.329967498779297,True,0.0
Claude Sonnet 4.6,047,no_slip,-10.486995697021484,True,success,5,31330,success,,-10.486995697021484,True,0.0
Claude Sonnet 4.6,048,no_slip,-2.9037342071533203,True,success,5,32168,success,,-2.9037342071533203,True,0.0
Claude Sonnet 4.6,049,no_slip,-8.628105163574219,True,success,4,30864,success,,-8.627952575683594,True,-0.000152587890625
