case_id,variant,full_best,variant_best,delta_variant_best_minus_full_best,variant_success_backends,variant_external_failures,full_success_backends
033,no_forbid,-3.2235107421875,-3.056640625,0.1668701171875,2,1,3
033,no_slip,-3.2235107421875,-3.05670166015625,0.16680908203125,3,0,3
033,no_termination,-3.2235107421875,-3.2235107421875,0.0,2,1,3
034,no_forbid,-3.607467651367187,-3.607452392578125,1.525878906205591e-05,2,1,3
034,no_slip,-3.607467651367187,-3.607513427734375,-4.577636718794409e-05,3,0,3
034,no_termination,-3.607467651367187,-3.607513427734375,-4.577636718794409e-05,2,1,3
035,no_forbid,-4.418584823608398,-4.418554306030273,3.0517578125e-05,2,1,3
035,no_slip,-4.418584823608398,-4.418554306030273,3.0517578125e-05,3,0,3
035,no_termination,-4.418584823608398,-4.418554306030273,3.0517578125e-05,2,1,3
036,no_forbid,-0.1671810150146484,-0.16718101501464844,-2.7755575615628914e-17,2,1,3
036,no_slip,-0.1671810150146484,-0.16718101501464844,-2.7755575615628914e-17,3,0,3
036,no_termination,-0.1671810150146484,-0.1658496856689453,0.0013313293457030972,2,1,3
037,no_forbid,-10.361473083496094,-10.363121032714844,-0.00164794921875,2,1,3
037,no_slip,-10.361473083496094,-10.363121032714844,-0.00164794921875,3,0,3
037,no_termination,-10.361473083496094,-10.361473083496094,0.0,2,1,3
038,no_forbid,-3.3852310180664062,-3.3859024047851562,-0.00067138671875,2,1,3
038,no_slip,-3.3852310180664062,-3.3857192993164062,-0.00048828125,3,0,3
038,no_termination,-3.3852310180664062,-3.3192520141601562,0.06597900390625,2,1,3
039,no_forbid,-7.450052261352539,-7.450052261352539,0.0,2,1,3
039,no_slip,-7.450052261352539,-7.434549331665039,0.0155029296875,3,0,3
039,no_termination,-7.450052261352539,-7.450052261352539,0.0,2,1,3
040,no_forbid,-5.74797248840332,-5.74797248840332,0.0,2,1,3
040,no_slip,-5.74797248840332,-5.74797248840332,0.0,3,0,3
040,no_termination,-5.74797248840332,-5.74797248840332,0.0,2,1,3
041,no_forbid,-4.055267333984375,-4.055267333984375,0.0,2,1,3
041,no_slip,-4.055267333984375,-4.074314117431641,-0.019046783447265625,3,0,3
041,no_termination,-4.055267333984375,-4.029594421386719,0.02567291259765625,2,1,3
042,no_forbid,-2.4862289428710938,-2.5005111694335938,-0.0142822265625,2,1,3
042,no_slip,-2.4862289428710938,-2.5004806518554688,-0.014251708984375,3,0,3
042,no_termination,-2.4862289428710938,-2.4863510131835938,-0.0001220703125,2,1,3
043,no_forbid,-3.145526885986328,,,0,1,1
043,no_slip,-3.145526885986328,-3.1455345153808594,-7.62939453125e-06,2,0,1
043,no_termination,-3.145526885986328,-3.1455345153808594,-7.62939453125e-06,1,1,1
044,no_forbid,-5.087837219238281,-5.087776184082031,6.103515625e-05,2,1,3
044,no_slip,-5.087837219238281,-5.087898254394531,-6.103515625e-05,3,0,3
044,no_termination,-5.087837219238281,-5.087898254394531,-6.103515625e-05,2,1,3
045,no_forbid,-2.848228454589844,-2.8482284545898438,4.440892098500626e-16,2,1,3
045,no_slip,-2.848228454589844,-2.8482284545898438,4.440892098500626e-16,3,0,3
045,no_termination,-2.848228454589844,-2.8482284545898438,4.440892098500626e-16,2,1,3
046,no_forbid,-8.329967498779297,-8.329967498779297,0.0,2,1,3
046,no_slip,-8.329967498779297,-8.329967498779297,0.0,3,0,3
046,no_termination,-8.329967498779297,-8.329967498779297,0.0,2,1,3
047,no_forbid,-10.486995697021484,-10.486995697021484,0.0,2,1,3
047,no_slip,-10.486995697021484,-10.486995697021484,0.0,3,0,3
047,no_termination,-10.486995697021484,-10.486995697021484,0.0,2,1,3
048,no_forbid,-2.9037342071533203,-2.903726577758789,7.62939453125e-06,2,1,3
048,no_slip,-2.9037342071533203,-2.9037342071533203,0.0,3,0,3
048,no_termination,-2.9037342071533203,-2.9037342071533203,0.0,2,1,3
049,no_forbid,-8.628105163574219,-8.628105163574219,0.0,2,1,3
049,no_slip,-8.628105163574219,-8.628105163574219,0.0,3,0,3
049,no_termination,-8.628105163574219,-8.628105163574219,0.0,2,1,3
050,no_forbid,-11.695304870605469,-11.695274353027344,3.0517578125e-05,2,1,3
050,no_slip,-11.695304870605469,-11.695304870605469,0.0,3,0,3
050,no_termination,-11.695304870605469,-11.695304870605469,0.0,2,1,3
