case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,grok4_best_energy,grok4_delta_vs_full,grok4_success,openai_gpt54_best_energy,openai_gpt54_delta_vs_full,openai_gpt54_success,anthropic_claude_best_energy,anthropic_claude_delta_vs_full,anthropic_claude_success
09,full,4,4,4,0,-1.9912567138671875,-1.9739322662353516,0.017324447631835938,-1.9825944900512695,-1.9825944900512695,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.9739322662353516,0.0,True,-1.9739322662353516,0.0,True,-1.9912567138671875,0.0,True,-1.9912567138671875,0.0,True
09,no_forbid,4,4,4,0,-1.9912567138671875,-1.9739322662353516,0.017324447631835938,-1.9825944900512695,-1.9825944900512695,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.9739322662353516,0.0,True,-1.9739322662353516,0.0,True,-1.9912567138671875,0.0,True,-1.9912567138671875,0.0,True
09,no_slip,4,4,4,0,-1.9912567138671875,-1.9739322662353516,0.017324447631835938,-1.9825944900512695,-1.9825944900512695,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.9739322662353516,0.0,True,-1.9739322662353516,0.0,True,-1.9912567138671875,0.0,True,-1.9912567138671875,0.0,True
09,no_termination,4,4,4,0,-1.9912567138671875,-1.9739322662353516,0.017324447631835938,-1.9825944900512695,-1.9825944900512695,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.9739322662353516,0.0,True,-1.9739322662353516,0.0,True,-1.9912567138671875,0.0,True,-1.9912567138671875,0.0,True
09,single_shot,4,4,4,0,-1.9912567138671875,-1.8013858795166016,0.18987083435058594,-1.8925771713256836,-1.8888330459594727,0.0,0.18752288818359375,0.18752288818359375,0.09001731872558594,0.086273193359375,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.8013858795166016,0.17254638671875,True,-1.9739322662353516,0.0,True,-1.9912567138671875,0.0,True,-1.8037338256835938,0.18752288818359375,True
10,full,4,4,4,0,-2.7176666259765625,-2.7095260620117188,0.00814056396484375,-2.7156314849853516,-2.7176666259765625,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.7176666259765625,0.0,True,-2.7176666259765625,0.0,True,-2.7095260620117188,0.0,True,-2.7176666259765625,0.0,True
10,no_forbid,4,4,4,0,-2.7176666259765625,-2.7095260620117188,0.00814056396484375,-2.7156314849853516,-2.7176666259765625,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.7176666259765625,0.0,True,-2.7176666259765625,0.0,True,-2.7095260620117188,0.0,True,-2.7176666259765625,0.0,True
10,no_slip,4,4,4,0,-2.7176666259765625,-2.7095260620117188,0.00814056396484375,-2.7156314849853516,-2.7176666259765625,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.7176666259765625,0.0,True,-2.7176666259765625,0.0,True,-2.7095260620117188,0.0,True,-2.7176666259765625,0.0,True
10,no_termination,4,4,4,0,-2.7176666259765625,-2.7176666259765625,0.0,-2.7176666259765625,-2.7176666259765625,-0.00814056396484375,0.0,0.00814056396484375,-0.0020351409912109375,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.7176666259765625,0.0,True,-2.7176666259765625,0.0,True,-2.7176666259765625,-0.00814056396484375,True,-2.7176666259765625,0.0,True
10,single_shot,4,4,4,0,-2.7176666259765625,-2.1220951080322266,0.5955715179443359,-2.5654096603393555,-2.7109384536743164,-0.00814056396484375,0.5955715179443359,0.6037120819091797,0.1502218246459961,0.006728172302246094,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.1220951080322266,0.5955715179443359,True,-2.712350845336914,0.0053157806396484375,True,-2.7176666259765625,-0.00814056396484375,True,-2.7095260620117188,0.00814056396484375,True
12,full,4,4,4,0,-2.3513641357421875,-2.0813217163085938,0.27004241943359375,-2.283853530883789,-2.3513641357421875,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.3513641357421875,0.0,True,-2.3513641357421875,0.0,True,-2.0813217163085938,0.0,True,-2.3513641357421875,0.0,True
12,no_forbid,4,4,4,0,-2.3513641357421875,-2.3513641357421875,0.0,-2.3513641357421875,-2.3513641357421875,-0.27004241943359375,0.0,0.27004241943359375,-0.06751060485839844,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.3513641357421875,0.0,True,-2.3513641357421875,0.0,True,-2.3513641357421875,-0.27004241943359375,True,-2.3513641357421875,0.0,True
12,no_slip,4,4,4,0,-2.3513641357421875,-2.0813217163085938,0.27004241943359375,-2.283853530883789,-2.3513641357421875,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.3513641357421875,0.0,True,-2.3513641357421875,0.0,True,-2.0813217163085938,0.0,True,-2.3513641357421875,0.0,True
12,no_termination,4,4,4,0,-2.3513641357421875,-2.3513641357421875,0.0,-2.3513641357421875,-2.3513641357421875,-0.27004241943359375,0.0,0.27004241943359375,-0.06751060485839844,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.3513641357421875,0.0,True,-2.3513641357421875,0.0,True,-2.3513641357421875,-0.27004241943359375,True,-2.3513641357421875,0.0,True
12,single_shot,4,4,4,0,-2.0813217163085938,-1.6070194244384766,0.4743022918701172,-1.9626359939575195,-2.081101417541504,0.0,0.7443447113037109,0.7443447113037109,0.32121753692626953,0.2702627182006836,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.6070194244384766,0.7443447113037109,True,-2.080881118774414,0.27048301696777344,True,-2.0813217163085938,0.0,True,-2.0813217163085938,0.27004241943359375,True
13,full,4,4,4,0,-2.8251419067382812,-2.8251419067382812,0.0,-2.8251419067382812,-2.8251419067382812,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True
13,no_forbid,4,4,4,0,-2.8251419067382812,-2.8251419067382812,0.0,-2.8251419067382812,-2.8251419067382812,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True
13,no_slip,4,4,4,0,-2.8251419067382812,-2.8251419067382812,0.0,-2.8251419067382812,-2.8251419067382812,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True
13,no_termination,4,4,4,0,-2.8301544189453125,-2.8251419067382812,0.00501251220703125,-2.826395034790039,-2.8251419067382812,-0.00501251220703125,0.0,0.00501251220703125,-0.0012531280517578125,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8251419067382812,0.0,True,-2.8301544189453125,-0.00501251220703125,True
13,single_shot,4,4,4,0,-2.8251419067382812,-2.376436233520508,0.44870567321777344,-2.59647274017334,-2.592156410217285,0.0,0.44870567321777344,0.44870567321777344,0.2286691665649414,0.2329854965209961,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.376436233520508,0.44870567321777344,True,-2.376443862915039,0.4486980438232422,True,-2.8078689575195312,0.01727294921875,True,-2.8251419067382812,0.0,True
14,full,4,4,4,0,-3.6166324615478516,-3.5796432495117188,0.03698921203613281,-3.6010122299194336,-3.603886604309082,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6166324615478516,0.0,True,-3.6166324615478516,0.0,True,-3.5911407470703125,0.0,True,-3.5796432495117188,0.0,True
14,no_forbid,4,4,4,0,-3.6166324615478516,-3.5911407470703125,0.025491714477539062,-3.603886604309082,-3.603886604309082,-0.01149749755859375,0.0,0.01149749755859375,-0.0028743743896484375,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6166324615478516,0.0,True,-3.6166324615478516,0.0,True,-3.5911407470703125,0.0,True,-3.5911407470703125,-0.01149749755859375,True
